;CASAGRC1;BBVAC1;GLORIA;
2/01/2018;6.19;4.15;6.5;
3/01/2018;6.1;4.25;6.5;
4/01/2018;6;4.26;6.5;
5/01/2018;6.11;4.31;6.5;
8/01/2018;6.1;4.38;6.5;
9/01/2018;6.1;4.35;6.5;
10/01/2018;6.03;4.35;6.5;
11/01/2018;6.03;4.36;6.5;
12/01/2018;6.01;4.39;6.5;
16/01/2018;6.03;4.31;6.5;
17/01/2018;5.95;4.38;6.5;
18/01/2018;5.9;4.38;6.5;
19/01/2018;5.76;4.38;6.5;
22/01/2018;5.77;4.29;6.5;
23/01/2018;5.77;4.29;6.5;
24/01/2018;5.73;4.32;6.5;
25/01/2018;5.73;4.37;6.5;
26/01/2018;5.7;4.38;6.5;
29/01/2018;5.8;4.38;6.05;
30/01/2018;6;4.36;6.05;
31/01/2018;6;4.31;6.05;
1/02/2018;5.99;4.36;6.05;
2/02/2018;6;4.4;6.05;
5/02/2018;5.99;4.37;6.05;
6/02/2018;5.99;4.25;6.05;
7/02/2018;6;4.35;6.05;
8/02/2018;5.65;4.35;6.05;
9/02/2018;5.66;4.35;6.05;
12/02/2018;5.56;4.29;6.15;
13/02/2018;5.56;4.34;6.15;
14/02/2018;5.56;4.32;6.15;
15/02/2018;5.56;4.32;6.15;
16/02/2018;5.5;4.31;6.15;
19/02/2018;5.5;4.31;6.15;
20/02/2018;5.5;4.32;6.15;
21/02/2018;5.5;4.31;6.15;
22/02/2018;5.58;4.31;6.15;
23/02/2018;5.56;4.25;6.15;
26/02/2018;5.62;4.22;6.15;
27/02/2018;5.68;4.18;6.15;
28/02/2018;5.81;4.25;6.15;
1/03/2018;5.63;4.25;6.15;
2/03/2018;5.63;4.25;6.15;
5/03/2018;5.69;4.35;6.15;
6/03/2018;5.69;4.3;6.15;
7/03/2018;5.69;4.25;6.15;
8/03/2018;5.69;4.35;6.15;
9/03/2018;5.63;4.35;6.07;
12/03/2018;5.63;4.39;6.08;
13/03/2018;5.55;4.35;6.08;
14/03/2018;5.55;4.35;6.08;
15/03/2018;5.55;4.35;6.08;
16/03/2018;5.55;4.21;6.08;
19/03/2018;5.5;4.2;6.08;
20/03/2018;5.37;4.2;6.08;
21/03/2018;5.45;4.12;6.08;
22/03/2018;5.42;4.15;6.08;
23/03/2018;5.4;4.25;6.08;
26/03/2018;5.5;4.26;6.08;
27/03/2018;5.5;4.25;6;
28/03/2018;5.57;4.3;6;
2/04/2018;5.6;4.35;6;
3/04/2018;5.45;4.4;6;
4/04/2018;5.45;4.4;6;
5/04/2018;5.55;4.49;6;
6/04/2018;5.45;4.5;6;
9/04/2018;5.4;4.5;6;
10/04/2018;5.4;4.5;6;
11/04/2018;5.45;4.45;7;
12/04/2018;5.45;4.44;7;
16/04/2018;5.45;4.42;7;
17/04/2018;5.5;4.42;7;
18/04/2018;5.6;4.34;7;
19/04/2018;5.5;4.34;7;
20/04/2018;5.6;4.35;7;
23/04/2018;5.65;4.35;7.1;
24/04/2018;5.6;4.45;7.55;
25/04/2018;5.6;4.39;7.55;
26/04/2018;5.45;4.48;7.55;
27/04/2018;5.75;4.5;8.02;
30/04/2018;5.55;4.5;8.02;
2/05/2018;5.53;4.5;8.02;
3/05/2018;5.4;4.54;8.02;
4/05/2018;5.22;4.54;8;
7/05/2018;5.2;4.5;8;
8/05/2018;5.2;4.56;7.37;
9/05/2018;5.2;4.55;7.37;
10/05/2018;5.01;4.57;7.37;
11/05/2018;5.1;4.55;7.37;
14/05/2018;5.25;4.56;7.37;
15/05/2018;5.25;4.55;7.37;
16/05/2018;5.19;4.56;7.37;
17/05/2018;5.3;4.56;7.37;
18/05/2018;5.35;4.5;7.37;
21/05/2018;5.3;4.45;7.37;
22/05/2018;5.3;4.5;7.37;
23/05/2018;5.35;4.49;7.37;
24/05/2018;5.3;4.52;7.37;
25/05/2018;5.25;4.55;7.37;
28/05/2018;5.3;4.5;7.38;
29/05/2018;5.3;4.54;7.38;
30/05/2018;5.3;4.5;7.38;
31/05/2018;5.3;4.45;7.38;
1/06/2018;5.19;4.46;7.38;
4/06/2018;5.17;4.55;7.38;
5/06/2018;5.01;4.64;7.38;
6/06/2018;5.01;4.65;7.38;
7/06/2018;5;4.6;7.38;
8/06/2018;5;4.55;7.38;
11/06/2018;5.01;4.55;7.38;
12/06/2018;5;4.54;7.38;
13/06/2018;5;4.56;7.38;
14/06/2018;5;4.6;7.38;
15/06/2018;5;4.56;7.38;
18/06/2018;5;4.58;7.38;
19/06/2018;5;4.62;7.38;
20/06/2018;5;4.18;7.38;
21/06/2018;5;4.23;7.38;
22/06/2018;4.95;4.2;7.38;
25/06/2018;4.73;4.27;7.39;
26/06/2018;4.34;4.14;7.39;
27/06/2018;4.25;4.2;7.39;
28/06/2018;4.2;4.25;7.39;
2/07/2018;4.18;4.17;7.39;
3/07/2018;4.12;4.2;7.39;
4/07/2018;4.08;4.21;7.39;
5/07/2018;4.08;4.19;7.39;
6/07/2018;3.96;4.12;7.39;
9/07/2018;4.01;4.1;7.39;
10/07/2018;4.15;4.1;7.39;
11/07/2018;4.15;4.1;7.4;
12/07/2018;4;4.1;7.4;
13/07/2018;4;4.24;7.4;
16/07/2018;4;4.24;7.4;
17/07/2018;4;4.24;7.4;
18/07/2018;4.15;4.15;7.4;
19/07/2018;4.16;4.15;7.89;
20/07/2018;4.2;4.15;7.89;
23/07/2018;4.19;4.17;7.4;
24/07/2018;4.35;4.25;7.4;
25/07/2018;4.35;4.2;7.4;
26/07/2018;4.25;4.2;7.4;
27/07/2018;4.21;4.1;7.4;
30/07/2018;4.23;4.1;7.4;
31/07/2018;4.23;4.15;7.4;
1/08/2018;4.18;4.15;7.4;
2/08/2018;4.18;4.15;7.4;
3/08/2018;4.18;4.1;7.4;
6/08/2018;4.1;4.11;7.4;
7/08/2018;4;4.11;7.4;
8/08/2018;3.85;4.1;7.4;
9/08/2018;3.85;4.1;7.3;
10/08/2018;3.86;4.05;7.3;
13/08/2018;3.8;4.05;7.3;
14/08/2018;3.8;4.03;7.3;
15/08/2018;3.8;4.05;7.3;
16/08/2018;3.7;4.03;7.3;
17/08/2018;3.8;4.06;7.3;
20/08/2018;3.8;4.09;7.3;
21/08/2018;3.8;4.09;7.3;
22/08/2018;3.8;4.1;7.3;
23/08/2018;3.8;4.1;7;
24/08/2018;3.8;4.1;7;
27/08/2018;3.79;4.11;7;
28/08/2018;3.79;4.15;7;
29/08/2018;3.9;4.07;7;
31/08/2018;3.9;4.1;7;
3/09/2018;3.9;4.2;7;
4/09/2018;3.9;4.24;7;
5/09/2018;3.7;4.1;7;
6/09/2018;3.7;4.16;7;
7/09/2018;3.6;4.14;7;
10/09/2018;3.7;4.16;7;
11/09/2018;3.8;4.16;7;
12/09/2018;3.9;4.16;7;
13/09/2018;3.9;4.12;7;
14/09/2018;3.6;4.09;7;
17/09/2018;3.65;4.05;7;
18/09/2018;3.65;4;7;
19/09/2018;3.65;4;7;
20/09/2018;3.9;4;7;
21/09/2018;3.8;4.05;7;
24/09/2018;3.8;4.05;7;
25/09/2018;3.8;4;7;
26/09/2018;3.9;3.97;7;
27/09/2018;3.9;3.97;7;
28/09/2018;3.85;3.98;7;
1/10/2018;3.85;3.98;7;
2/10/2018;4;3.98;7;
3/10/2018;4;3.99;7;
4/10/2018;4.15;3.98;7;
5/10/2018;4.15;3.98;7;
9/10/2018;4;3.98;7;
10/10/2018;4;3.93;7;
11/10/2018;3.9;3.95;7;
12/10/2018;3.9;3.95;7;
15/10/2018;4;3.95;7;
16/10/2018;4;3.98;7;
17/10/2018;4;3.98;7.08;
18/10/2018;3.95;3.98;7;
19/10/2018;3.93;3.98;7;
22/10/2018;3.75;3.99;7;
23/10/2018;3.79;4.04;7;
24/10/2018;3.75;4.05;7;
25/10/2018;3.75;4.07;7;
26/10/2018;3.75;4;7;
29/10/2018;3.75;3.99;7;
30/10/2018;3.85;3.99;7;
31/10/2018;3.85;3.98;7;
2/11/2018;3.85;3.96;7;
5/11/2018;3.8;3.98;7;
6/11/2018;3.8;3.95;7;
7/11/2018;3.9;3.88;7;
8/11/2018;3.9;3.86;7;
9/11/2018;3.9;3.85;7;
12/11/2018;3.9;3.8;7;
13/11/2018;3.9;3.75;7;
14/11/2018;3.89;3.68;7;
