Date;CASAGRC1;BBVAC1;GLORIA;
2018-01-02;6.19;4.15;6.5;
2018-01-03;6.1;4.25;6.5;
2018-01-04;6;4.26;6.5;
2018-01-05;6.11;4.31;6.5;
2018-01-08;6.1;4.38;6.5;
2018-01-09;6.1;4.35;6.5;
2018-01-10;6.03;4.35;6.5;
2018-01-11;6.03;4.36;6.5;
2018-01-12;6.01;4.39;6.5;
2018-01-16;6.03;4.31;6.5;
2018-01-17;5.95;4.38;6.5;
2018-01-18;5.9;4.38;6.5;
2018-01-19;5.76;4.38;6.5;
2018-01-22;5.77;4.29;6.5;
2018-01-23;5.77;4.29;6.5;
2018-01-24;5.73;4.32;6.5;
2018-01-25;5.73;4.37;6.5;
2018-01-26;5.7;4.38;6.5;
2018-01-29;5.8;4.38;6.05;
2018-01-30;6;4.36;6.05;
2018-01-31;6;4.31;6.05;
2018-02-01;5.99;4.36;6.05;
2018-02-02;6;4.4;6.05;
2018-02-05;5.99;4.37;6.05;
2018-02-06;5.99;4.25;6.05;
2018-02-07;6;4.35;6.05;
2018-02-08;5.65;4.35;6.05;
2018-02-09;5.66;4.35;6.05;
2018-02-12;5.56;4.29;6.15;
2018-02-13;5.56;4.34;6.15;
2018-02-14;5.56;4.32;6.15;
2018-02-15;5.56;4.32;6.15;
2018-02-16;5.5;4.31;6.15;
2018-02-19;5.5;4.31;6.15;
2018-02-20;5.5;4.32;6.15;
2018-02-21;5.5;4.31;6.15;
2018-02-22;5.58;4.31;6.15;
2018-02-23;5.56;4.25;6.15;
2018-02-26;5.62;4.22;6.15;
2018-02-27;5.68;4.18;6.15;
2018-02-28;5.81;4.25;6.15;
2018-03-01;5.63;4.25;6.15;
2018-03-02;5.63;4.25;6.15;
2018-03-05;5.69;4.35;6.15;
2018-03-06;5.69;4.3;6.15;
2018-03-07;5.69;4.25;6.15;
2018-03-08;5.69;4.35;6.15;
2018-03-09;5.63;4.35;6.07;
2018-03-12;5.63;4.39;6.08;
2018-03-13;5.55;4.35;6.08;
2018-03-14;5.55;4.35;6.08;
2018-03-15;5.55;4.35;6.08;
2018-03-16;5.55;4.21;6.08;
2018-03-19;5.5;4.2;6.08;
2018-03-20;5.37;4.2;6.08;
2018-03-21;5.45;4.12;6.08;
2018-03-22;5.42;4.15;6.08;
2018-03-23;5.4;4.25;6.08;
2018-03-26;5.5;4.26;6.08;
2018-03-27;5.5;4.25;6;
2018-03-28;5.57;4.3;6;
2018-04-02;5.6;4.35;6;
2018-04-03;5.45;4.4;6;
2018-04-04;5.45;4.4;6;
2018-04-05;5.55;4.49;6;
2018-04-06;5.45;4.5;6;
2018-04-09;5.4;4.5;6;
2018-04-10;5.4;4.5;6;
2018-04-11;5.45;4.45;7;
2018-04-12;5.45;4.44;7;
2018-04-16;5.45;4.42;7;
2018-04-17;5.5;4.42;7;
2018-04-18;5.6;4.34;7;
2018-04-19;5.5;4.34;7;
2018-04-20;5.6;4.35;7;
2018-04-23;5.65;4.35;7.1;
2018-04-24;5.6;4.45;7.55;
2018-04-25;5.6;4.39;7.55;
2018-04-26;5.45;4.48;7.55;
2018-04-27;5.75;4.5;8.02;
2018-04-30;5.55;4.5;8.02;
2018-05-02;5.53;4.5;8.02;
2018-05-03;5.4;4.54;8.02;
2018-05-04;5.22;4.54;8;
2018-05-07;5.2;4.5;8;
2018-05-08;5.2;4.56;7.37;
2018-05-09;5.2;4.55;7.37;
2018-05-10;5.01;4.57;7.37;
2018-05-11;5.1;4.55;7.37;
2018-05-14;5.25;4.56;7.37;
2018-05-15;5.25;4.55;7.37;
2018-05-16;5.19;4.56;7.37;
2018-05-17;5.3;4.56;7.37;
2018-05-18;5.35;4.5;7.37;
2018-05-21;5.3;4.45;7.37;
2018-05-22;5.3;4.5;7.37;
2018-05-23;5.35;4.49;7.37;
2018-05-24;5.3;4.52;7.37;
2018-05-25;5.25;4.55;7.37;
2018-05-28;5.3;4.5;7.38;
2018-05-29;5.3;4.54;7.38;
2018-05-30;5.3;4.5;7.38;
2018-05-31;5.3;4.45;7.38;
